#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):  0.0005535336768481181 ph/cm^2/s
#Pivot Energy = 1 GeV (Spectrum from 4FGL-DR3)


IP LINLIN
DP 0.865 4.8e-04
DP 0.869 4.7e-04
DP 0.873 4.7e-04
DP 0.877 4.6e-04
DP 0.881 4.6e-04
DP 0.885 4.5e-04
DP 0.889 4.5e-04
DP 0.893 4.4e-04
DP 0.897 4.4e-04
DP 0.901 4.3e-04
DP 0.906 4.3e-04
DP 0.910 4.2e-04
DP 0.914 4.2e-04
DP 0.918 4.1e-04
DP 0.922 4.1e-04
DP 0.927 4.0e-04
DP 0.931 4.0e-04
DP 0.935 3.9e-04
DP 0.940 3.9e-04
DP 0.944 3.8e-04
DP 0.948 3.8e-04
DP 0.953 3.7e-04
DP 0.957 3.7e-04
DP 0.962 3.7e-04
DP 0.966 3.6e-04
DP 0.970 3.6e-04
DP 0.975 3.5e-04
DP 0.979 3.5e-04
DP 0.984 3.5e-04
DP 0.989 3.4e-04
DP 0.993 3.4e-04
DP 0.998 3.3e-04
DP 1.002 3.3e-04
DP 1.007 3.3e-04
DP 1.012 3.2e-04
DP 1.016 3.2e-04
DP 1.021 3.2e-04
DP 1.026 3.1e-04
DP 1.030 3.1e-04
DP 1.035 3.0e-04
DP 1.040 3.0e-04
DP 1.045 3.0e-04
DP 1.050 2.9e-04
DP 1.054 2.9e-04
DP 1.059 2.9e-04
DP 1.064 2.8e-04
DP 1.069 2.8e-04
DP 1.074 2.8e-04
DP 1.079 2.7e-04
DP 1.084 2.7e-04
DP 1.089 2.7e-04
DP 1.094 2.7e-04
DP 1.099 2.6e-04
DP 1.104 2.6e-04
DP 1.109 2.6e-04
DP 1.114 2.5e-04
DP 1.120 2.5e-04
DP 1.125 2.5e-04
DP 1.130 2.4e-04
DP 1.135 2.4e-04
DP 1.140 2.4e-04
DP 1.146 2.4e-04
DP 1.151 2.3e-04
DP 1.156 2.3e-04
DP 1.162 2.3e-04
DP 1.167 2.3e-04
DP 1.172 2.2e-04
DP 1.178 2.2e-04
DP 1.183 2.2e-04
DP 1.189 2.2e-04
DP 1.194 2.1e-04
DP 1.200 2.1e-04
DP 1.205 2.1e-04
DP 1.211 2.1e-04
DP 1.216 2.0e-04
DP 1.222 2.0e-04
DP 1.228 2.0e-04
DP 1.233 2.0e-04
DP 1.239 1.9e-04
DP 1.245 1.9e-04
DP 1.251 1.9e-04
DP 1.256 1.9e-04
DP 1.262 1.9e-04
DP 1.268 1.8e-04
DP 1.274 1.8e-04
DP 1.280 1.8e-04
DP 1.286 1.8e-04
DP 1.292 1.8e-04
DP 1.298 1.7e-04
DP 1.304 1.7e-04
DP 1.310 1.7e-04
DP 1.316 1.7e-04
DP 1.322 1.7e-04
DP 1.328 1.6e-04
DP 1.334 1.6e-04
DP 1.340 1.6e-04
DP 1.346 1.6e-04
DP 1.352 1.6e-04
DP 1.359 1.5e-04
DP 1.365 1.5e-04
DP 1.371 1.5e-04
DP 1.378 1.5e-04
DP 1.384 1.5e-04
DP 1.390 1.5e-04
DP 1.397 1.4e-04
DP 1.403 1.4e-04
DP 1.410 1.4e-04
DP 1.416 1.4e-04
DP 1.423 1.4e-04
DP 1.429 1.4e-04
DP 1.436 1.3e-04
DP 1.443 1.3e-04
DP 1.449 1.3e-04
DP 1.456 1.3e-04
DP 1.463 1.3e-04
DP 1.469 1.3e-04
DP 1.476 1.3e-04
DP 1.483 1.2e-04
DP 1.490 1.2e-04
DP 1.497 1.2e-04
DP 1.504 1.2e-04
DP 1.511 1.2e-04
DP 1.518 1.2e-04
DP 1.525 1.2e-04
DP 1.532 1.1e-04
DP 1.539 1.1e-04
DP 1.546 1.1e-04
DP 1.553 1.1e-04
DP 1.560 1.1e-04
DP 1.567 1.1e-04
DP 1.575 1.1e-04
DP 1.582 1.1e-04
DP 1.589 1.0e-04
DP 1.597 1.0e-04
DP 1.604 1.0e-04
DP 1.611 1.0e-04
DP 1.619 1.0e-04
DP 1.626 9.8e-05
DP 1.634 9.7e-05
DP 1.641 9.6e-05
DP 1.649 9.5e-05
DP 1.657 9.4e-05
DP 1.664 9.3e-05
DP 1.672 9.2e-05
DP 1.680 9.1e-05
DP 1.687 9.0e-05
DP 1.695 8.9e-05
DP 1.703 8.8e-05
DP 1.711 8.7e-05
DP 1.719 8.6e-05
DP 1.727 8.5e-05
DP 1.735 8.4e-05
DP 1.743 8.3e-05
DP 1.751 8.2e-05
DP 1.759 8.1e-05
DP 1.767 8.0e-05
DP 1.775 7.9e-05
DP 1.783 7.8e-05
DP 1.792 7.7e-05
DP 1.800 7.6e-05
DP 1.808 7.6e-05
DP 1.817 7.5e-05
DP 1.825 7.4e-05
DP 1.833 7.3e-05
DP 1.842 7.2e-05
DP 1.850 7.1e-05
DP 1.859 7.0e-05
DP 1.868 7.0e-05
DP 1.876 6.9e-05
DP 1.885 6.8e-05
DP 1.894 6.7e-05
DP 1.902 6.7e-05
DP 1.911 6.6e-05
DP 1.920 6.5e-05
DP 1.929 6.4e-05
DP 1.938 6.4e-05
DP 1.947 6.3e-05
DP 1.956 6.2e-05
DP 1.965 6.1e-05
DP 1.974 6.1e-05
DP 1.983 6.0e-05
DP 1.992 5.9e-05
DP 2.001 5.9e-05
DP 2.010 5.8e-05
DP 2.020 5.7e-05
DP 2.029 5.7e-05
DP 2.038 5.6e-05
DP 2.048 5.5e-05
DP 2.057 5.5e-05
DP 2.067 5.4e-05
DP 2.076 5.3e-05
DP 2.086 5.3e-05
DP 2.096 5.2e-05
DP 2.105 5.2e-05
DP 2.115 5.1e-05
DP 2.125 5.0e-05
DP 2.135 5.0e-05
DP 2.145 4.9e-05
DP 2.154 4.9e-05
DP 2.164 4.8e-05
DP 2.174 4.8e-05
DP 2.184 4.7e-05
DP 2.195 4.7e-05
DP 2.205 4.6e-05
DP 2.215 4.5e-05
DP 2.225 4.5e-05
DP 2.235 4.4e-05
DP 2.246 4.4e-05
DP 2.256 4.3e-05
DP 2.266 4.3e-05
DP 2.277 4.2e-05
DP 2.287 4.2e-05
DP 2.298 4.1e-05
DP 2.309 4.1e-05
DP 2.319 4.1e-05
DP 2.330 4.0e-05
DP 2.341 4.0e-05
DP 2.352 3.9e-05
DP 2.363 3.9e-05
DP 2.373 3.8e-05
DP 2.384 3.8e-05
DP 2.395 3.7e-05
DP 2.406 3.7e-05
DP 2.418 3.7e-05
DP 2.429 3.6e-05
DP 2.440 3.6e-05
DP 2.451 3.5e-05
DP 2.463 3.5e-05
DP 2.474 3.4e-05
DP 2.485 3.4e-05
DP 2.497 3.4e-05
DP 2.508 3.3e-05
DP 2.520 3.3e-05
DP 2.532 3.3e-05
DP 2.543 3.2e-05
DP 2.555 3.2e-05
DP 2.567 3.1e-05
DP 2.579 3.1e-05
DP 2.591 3.1e-05
DP 2.603 3.0e-05
DP 2.615 3.0e-05
DP 2.627 3.0e-05
DP 2.639 2.9e-05
DP 2.651 2.9e-05
DP 2.663 2.9e-05
DP 2.676 2.8e-05
DP 2.688 2.8e-05
DP 2.700 2.8e-05
DP 2.713 2.7e-05
DP 2.725 2.7e-05
DP 2.738 2.7e-05
DP 2.751 2.6e-05
DP 2.763 2.6e-05
DP 2.776 2.6e-05
DP 2.789 2.6e-05
DP 2.802 2.5e-05
DP 2.815 2.5e-05
DP 2.828 2.5e-05
DP 2.841 2.4e-05
DP 2.854 2.4e-05
DP 2.867 2.4e-05
DP 2.880 2.4e-05
DP 2.894 2.3e-05
DP 2.907 2.3e-05
DP 2.921 2.3e-05
DP 2.934 2.3e-05
DP 2.948 2.2e-05
DP 2.961 2.2e-05
DP 2.975 2.2e-05
DP 2.989 2.1e-05
DP 3.002 2.1e-05
DP 3.016 2.1e-05
DP 3.030 2.1e-05
DP 3.044 2.1e-05
DP 3.058 2.0e-05
DP 3.072 2.0e-05
DP 3.087 2.0e-05
DP 3.101 2.0e-05
DP 3.115 1.9e-05
DP 3.130 1.9e-05
DP 3.144 1.9e-05
DP 3.159 1.9e-05
DP 3.173 1.9e-05
DP 3.188 1.8e-05
DP 3.203 1.8e-05
DP 3.217 1.8e-05
DP 3.232 1.8e-05
DP 3.247 1.7e-05
DP 3.262 1.7e-05
DP 3.277 1.7e-05
DP 3.292 1.7e-05
DP 3.308 1.7e-05
DP 3.323 1.6e-05
DP 3.338 1.6e-05
DP 3.354 1.6e-05
DP 3.369 1.6e-05
DP 3.385 1.6e-05
DP 3.400 1.6e-05
DP 3.416 1.5e-05
DP 3.432 1.5e-05
DP 3.448 1.5e-05
DP 3.464 1.5e-05
DP 3.480 1.5e-05
DP 3.496 1.5e-05
DP 3.512 1.4e-05
DP 3.528 1.4e-05
DP 3.544 1.4e-05
DP 3.561 1.4e-05
DP 3.577 1.4e-05
DP 3.594 1.4e-05
DP 3.610 1.3e-05
DP 3.627 1.3e-05
DP 3.644 1.3e-05
DP 3.661 1.3e-05
DP 3.678 1.3e-05
DP 3.695 1.3e-05
DP 3.712 1.3e-05
DP 3.729 1.2e-05
DP 3.746 1.2e-05
DP 3.763 1.2e-05
DP 3.781 1.2e-05
DP 3.798 1.2e-05
DP 3.816 1.2e-05
DP 3.833 1.2e-05
DP 3.851 1.1e-05
DP 3.869 1.1e-05
DP 3.887 1.1e-05
DP 3.905 1.1e-05
DP 3.923 1.1e-05
DP 3.941 1.1e-05
DP 3.959 1.1e-05
DP 3.977 1.1e-05
DP 3.996 1.0e-05
DP 4.014 1.0e-05
DP 4.033 1.0e-05
DP 4.051 1.0e-05
DP 4.070 9.9e-06
DP 4.089 9.8e-06
DP 4.108 9.7e-06
DP 4.127 9.6e-06
DP 4.146 9.5e-06
DP 4.165 9.4e-06
DP 4.184 9.3e-06
DP 4.204 9.2e-06
DP 4.223 9.1e-06
DP 4.243 9.0e-06
DP 4.262 8.9e-06
DP 4.282 8.8e-06
DP 4.302 8.7e-06
DP 4.322 8.6e-06
DP 4.341 8.5e-06
DP 4.362 8.4e-06
DP 4.382 8.3e-06
DP 4.402 8.2e-06
DP 4.422 8.1e-06
DP 4.443 8.0e-06
DP 4.463 7.9e-06
DP 4.484 7.8e-06
DP 4.505 7.7e-06
DP 4.525 7.6e-06
DP 4.546 7.5e-06
DP 4.567 7.4e-06
DP 4.588 7.4e-06
DP 4.610 7.3e-06
DP 4.631 7.2e-06
DP 4.652 7.1e-06
DP 4.674 7.0e-06
DP 4.695 6.9e-06
DP 4.717 6.9e-06
DP 4.739 6.8e-06
DP 4.761 6.7e-06
DP 4.783 6.6e-06
DP 4.805 6.6e-06
DP 4.827 6.5e-06
DP 4.849 6.4e-06
DP 4.872 6.3e-06
DP 4.894 6.3e-06
DP 4.917 6.2e-06
DP 4.940 6.1e-06
DP 4.962 6.1e-06
DP 4.985 6.0e-06
DP 5.008 5.9e-06
DP 5.032 5.8e-06
DP 5.055 5.8e-06
DP 5.078 5.7e-06
DP 5.102 5.6e-06
DP 5.125 5.6e-06
DP 5.149 5.5e-06
DP 5.173 5.5e-06
DP 5.197 5.4e-06
DP 5.221 5.3e-06
DP 5.245 5.3e-06
DP 5.269 5.2e-06
DP 5.293 5.1e-06
DP 5.318 5.1e-06
DP 5.342 5.0e-06
DP 5.367 5.0e-06
DP 5.392 4.9e-06
DP 5.417 4.9e-06
DP 5.442 4.8e-06
DP 5.467 4.8e-06
DP 5.492 4.7e-06
DP 5.517 4.6e-06
DP 5.543 4.6e-06
DP 5.569 4.5e-06
DP 5.594 4.5e-06
DP 5.620 4.4e-06
DP 5.646 4.4e-06
DP 5.672 4.3e-06
DP 5.698 4.3e-06
DP 5.725 4.2e-06
DP 5.751 4.2e-06
DP 5.778 4.1e-06
DP 5.804 4.1e-06
DP 5.831 4.0e-06
DP 5.858 4.0e-06
DP 5.885 4.0e-06
DP 5.913 3.9e-06
DP 5.940 3.9e-06
DP 5.967 3.8e-06
DP 5.995 3.8e-06
DP 6.023 3.7e-06
DP 6.050 3.7e-06
DP 6.078 3.6e-06
DP 6.106 3.6e-06
DP 6.135 3.6e-06
DP 6.163 3.5e-06
DP 6.191 3.5e-06
DP 6.220 3.4e-06
DP 6.249 3.4e-06
DP 6.278 3.4e-06
DP 6.307 3.3e-06
DP 6.336 3.3e-06
DP 6.365 3.2e-06
DP 6.394 3.2e-06
DP 6.424 3.2e-06
DP 6.454 3.1e-06
DP 6.484 3.1e-06
DP 6.513 3.1e-06
DP 6.544 3.0e-06
DP 6.574 3.0e-06
DP 6.604 3.0e-06
DP 6.635 2.9e-06
DP 6.665 2.9e-06
DP 6.696 2.9e-06
DP 6.727 2.8e-06
DP 6.758 2.8e-06
DP 6.789 2.8e-06
DP 6.821 2.7e-06
DP 6.852 2.7e-06
DP 6.884 2.7e-06
DP 6.916 2.6e-06
DP 6.948 2.6e-06
DP 6.980 2.6e-06
DP 7.012 2.5e-06
DP 7.044 2.5e-06
DP 7.077 2.5e-06
DP 7.110 2.5e-06
DP 7.143 2.4e-06
DP 7.176 2.4e-06
DP 7.209 2.4e-06
DP 7.242 2.4e-06
DP 7.275 2.3e-06
DP 7.309 2.3e-06
DP 7.343 2.3e-06
DP 7.377 2.2e-06
DP 7.411 2.2e-06
DP 7.445 2.2e-06
DP 7.480 2.2e-06
DP 7.514 2.1e-06
DP 7.549 2.1e-06
DP 7.584 2.1e-06
DP 7.619 2.1e-06
DP 7.654 2.0e-06
DP 7.689 2.0e-06
DP 7.725 2.0e-06
DP 7.761 2.0e-06
DP 7.796 2.0e-06
DP 7.832 1.9e-06
DP 7.869 1.9e-06
DP 7.905 1.9e-06
DP 7.941 1.9e-06
DP 7.978 1.8e-06
DP 8.015 1.8e-06
DP 8.052 1.8e-06
DP 8.089 1.8e-06
DP 8.127 1.8e-06
DP 8.164 1.7e-06
DP 8.202 1.7e-06
DP 8.240 1.7e-06
DP 8.278 1.7e-06
DP 8.316 1.7e-06
DP 8.355 1.6e-06
DP 8.393 1.6e-06
DP 8.432 1.6e-06
DP 8.471 1.6e-06
DP 8.510 1.6e-06
DP 8.549 1.6e-06
DP 8.589 1.5e-06
DP 8.629 1.5e-06
DP 8.668 1.5e-06
DP 8.708 1.5e-06
DP 8.749 1.5e-06
DP 8.789 1.4e-06
DP 8.830 1.4e-06
